P(topic 1),P(topic 2),P(topic 3),P(topic 4),P(topic 5),P(topic 6),P(topic 7),P(topic 8),P(topic 9),P(topic 10)
0.000343651,0.143890388,0.000343649,0.000343651,0.00034365,0.00034365,0.466289216,0.000343648,0.387414849,0.000343647
0.000289023,0.000289064,0.000289024,0.000289036,0.000289018,0.00028902,0.487002992,0.000289021,0.510684779,0.000289022
0.000355932,0.020051994,0.000355873,0.000355889,0.000355877,0.468644856,0.000356013,0.000355876,0.508811813,0.000355877
0.000357143,0.000357187,0.000357143,0.000357143,0.000357201,0.000357152,0.571598205,0.000357143,0.425544538,0.000357145
0.000380232,0.026550185,0.000380277,0.000380232,0.000380228,0.000380231,0.485062377,0.000380244,0.485725761,0.000380232
0.000280899,0.000280918,0.000280899,0.000280909,0.000280899,0.0002809,0.465009927,0.000280902,0.532742846,0.000280901
0.000327872,0.000327893,0.000327869,0.000327912,0.00032787,0.000327872,0.528814326,0.000327869,0.468562644,0.000327873
0.000327871,0.000327899,0.000327869,0.000327877,0.000327888,0.00032787,0.452539936,0.000327873,0.544837047,0.000327871
0.000333335,0.000333353,0.000333334,0.000333351,0.000333339,0.00033334,0.466576375,0.000333336,0.530756899,0.000333337
0.000383144,0.000383163,0.000383155,0.000383155,0.000383143,0.000383148,0.536170904,0.000383158,0.460763886,0.000383145
0.000266667,0.000266688,0.000266668,0.000266691,0.000266667,0.000266671,0.499285127,0.000266677,0.498581469,0.000266675
0.000343644,0.000343673,0.000343643,0.000343643,0.000343643,0.000343643,0.39932763,0.000343646,0.597923189,0.000343647
0.000234744,0.00023475,0.000234742,0.000234769,0.000234742,0.000234744,0.492019464,0.000234746,0.506102551,0.000234747
0.000393702,0.000393835,0.000393701,0.000393702,0.000393714,0.000393701,0.409863795,0.000393726,0.586986416,0.000393709
0.000366304,0.000366345,0.0003663,0.000366302,0.0003663,0.000366304,0.590510745,0.000366302,0.406558791,0.000366306
0.000421942,0.000421964,0.000421942,0.000421953,0.000421943,0.000421944,0.509812737,0.000421945,0.486811684,0.000421945
0.000336701,0.000336722,0.000336702,0.000336702,0.000336701,0.000336701,0.562694679,0.000336719,0.43461167,0.000336704
0.00037595,0.000375973,0.00037594,0.000375942,0.000375997,0.000375944,0.444137908,0.000375947,0.55285444,0.00037596
0.000380229,0.000380303,0.000380228,0.000380248,0.00038023,0.000380233,0.504802619,0.000380229,0.492155445,0.000380237
0.00037594,0.000375964,0.399875776,0.000375951,0.00037594,0.000375941,0.000375974,0.000375971,0.597116602,0.000375941
0.000312501,0.000312553,0.505352686,0.000312503,0.000312505,0.000312501,0.000312501,0.000312503,0.492147244,0.000312502
0.00031746,0.049994915,0.399656398,0.000317479,0.00031746,0.000317465,0.000317472,0.000317466,0.548126422,0.000317462
0.00037314,0.000373182,0.401445213,0.000373144,0.000373134,0.000373138,0.000373139,0.000373134,0.595569635,0.000373141
0.000378791,0.000378811,0.626055301,0.000378792,0.000378837,0.000378789,0.00037879,0.000378806,0.370914286,0.000378796
0.000359723,0.000359791,0.612500579,0.000359735,0.000359757,0.000359714,0.000359716,0.000359723,0.384621547,0.000359716
0.000378788,0.000378853,0.4498445,0.000378788,0.000378789,0.000378788,0.000378803,0.000378791,0.547125103,0.000378797
0.000355896,0.000355881,0.000355887,0.000355882,0.000355873,0.515932433,0.000355877,0.00035588,0.481220511,0.00035588
0.000371747,0.000371778,0.454694474,0.00037175,0.000371779,0.000371757,0.000371748,0.000371763,0.54233145,0.000371753
0.000487805,0.000487831,0.472485228,0.000487811,0.000487806,0.000487805,0.000487826,0.000487831,0.523612245,0.000487811
0.000248756,0.018656408,0.495736834,0.000248763,0.000248759,0.000248771,0.00024876,0.000248766,0.483865419,0.000248764
0.000383143,0.000383164,0.41292319,0.000383143,0.000383142,0.000383145,0.000383143,0.00038316,0.584011624,0.000383147
0.000301211,0.000301246,0.409584917,0.000301219,0.000301205,0.000301221,0.000301212,0.000301211,0.588005332,0.000301224
0.000264554,0.000264577,0.569209335,0.000264559,0.000264556,0.000264557,0.000264563,0.000264558,0.428674187,0.000264554
0.000378788,0.000378831,0.499956119,0.000378811,0.000378788,0.000378789,0.000378792,0.000378793,0.497013495,0.000378794
0.000256411,0.000256441,0.472301504,0.000256419,0.000256494,0.000256416,0.000256421,0.000256412,0.525647071,0.000256411
0.000378788,0.00565184,0.000378802,0.000378806,0.000378792,0.469750579,0.00037881,0.0003788,0.521945992,0.000378791
0.000332228,0.000332248,0.573345217,0.000332236,0.000332226,0.00033225,0.000332226,0.000332234,0.423996902,0.000332232
0.000325734,0.039377663,0.525749319,0.000325743,0.000325736,0.000325737,0.000325765,0.000325742,0.432592794,0.000325769
0.000375942,0.000375984,0.395154714,0.000375957,0.00037594,0.000375946,0.000375957,0.000375948,0.601837667,0.000375944
0.000107182,0.000107186,0.000107183,0.000107182,0.080123872,0.00010719,0.000107184,0.000107182,0.919018656,0.000107183
0.000158984,0.299639451,0.000158987,0.000158986,0.077449156,0.000159003,0.000158987,0.000158988,0.621798472,0.000158986
0.000114025,0.000114038,0.000114027,0.000114029,0.000114068,0.419263967,0.000114026,0.000114027,0.579823768,0.000114026
0.000286533,0.00028655,0.000286548,0.00028654,0.516504161,0.00028657,0.000286534,0.000286535,0.481203484,0.000286544
0.000120919,0.000120925,0.000120931,0.000120921,0.501646254,0.000120923,0.000120922,0.00012092,0.497386364,0.000120921
0.000199204,0.000199217,0.000199208,0.000199208,0.53621998,0.00019921,0.000199255,0.000199203,0.462186308,0.000199206
0.000106271,0.000106275,0.00010627,0.000106271,0.525162328,0.000106281,0.000106272,0.000106272,0.473987486,0.000106275
0.000311526,0.00031155,0.00031154,0.00031153,0.022705865,0.426501236,0.000311529,0.00031153,0.548612155,0.000311538
0.000110497,0.000110513,0.000110501,0.000110499,0.587397705,0.000110504,0.0001105,0.000110498,0.411718281,0.000110501
